City Name,State Code,State,Total Population,Male Population,Female Population,Literates,Male Literates,Female Literates,Sex Ratio,Child Sex Ratio,Literacy Rate,Male Literacy Rate,Female Literacy Rate,Graduates,Male Graduates,Female Graduates
Habra ,19,WEST BENGAL,149675,76510,73165,125800,66495,59305,956,933,90.85,94.04,87.53,13824,8682,5142
Hajipur ,10,BIHAR,147126,78561,68565,100691,57537,43154,873,879,79.26,84.78,72.93,16319,11371,4948
Haldia ,19,WEST BENGAL,200762,104852,95910,159984,88125,71859,915,956,89.06,93.7,83.96,17487,10784,6703
Haldwani-cum-Kathgodam ,5,UTTARAKHAND,156060,81918,74142,111410,60678,50732,905,903,81.75,84.84,78.34,34329,17783,16546
Halisahar ,19,WEST BENGAL,126893,66654,60239,103789,56921,46868,904,923,89.25,93.1,84.98,10802,6680,4122
Hanumangarh ,8,RAJASTHAN,151104,79817,71287,104285,59883,44402,893,848,78.32,85.42,70.42,16870,9978,6892
Haora ,19,WEST BENGAL,1072161,560577,511584,888817,477781,411036,913,924,89.86,92.34,87.13,151490,91001,60489
Hapur ,9,UTTAR PRADESH,262801,139694,123107,170325,98394,71931,881,852,75.34,82.08,67.72,28472,16007,12465
Hardoi ,9,UTTAR PRADESH,126890,66752,60138,99217,54470,44747,901,878,87.15,91.07,82.8,29166,17644,11522
Hardwar ,5,UTTARAKHAND,225235,120201,105034,169371,94508,74863,874,873,84.99,88.87,80.55,38835,20223,18612
Hassan ,29,KARNATAKA,133723,66380,67343,109564,55610,53954,1015,944,90.51,92.9,88.17,21042,11784,9258
Hastsal ,7,NCT OF DELHI,177033,95068,81965,129653,75259,54394,862,872,84.68,91.45,76.81,12901,8095,4806
Hathras ,9,UTTAR PRADESH,137509,73376,64133,95524,53918,41606,874,834,79.06,83.88,73.58,18612,10545,8067
Hazaribag ,20,JHARKHAND,142494,74267,68227,113693,61630,52063,919,897,89.95,93.69,85.9,28889,18311,10578
Hindaun ,8,RAJASTHAN,105690,56178,49512,69108,41993,27115,881,852,76.58,87.79,63.94,7964,5291,2673
Hindupur ,28,ANDHRA PRADESH,151835,76625,75210,103538,56177,47361,982,974,76.4,82.18,70.52,11050,6926,4124
Hinganghat ,27,MAHARASHTRA,100416,51881,48535,85599,45728,39871,936,871,94.34,97.91,90.56,11256,6684,4572
Hisar ,6,HARYANA,301249,163338,137911,216978,125172,91806,844,860,81.04,86.13,75,49148,27629,21519
Hoshangabad ,23,MADHYA PRADESH,117956,61610,56346,92317,50943,41374,915,868,87.97,93.22,82.26,18980,11072,7908
Hoshiarpur ,3,PUNJAB,168443,88290,80153,135094,72533,62561,908,834,89.11,91.68,86.3,26629,13069,13560
Hospet ,29,KARNATAKA,206159,102923,103236,143776,77678,66098,1003,960,80.02,86.87,73.23,17556,10567,6989
Hosur ,33,TAMIL NADU,116821,59411,57410,91358,48225,43133,966,970,88.24,91.57,84.79,15530,8254,7276
Hubli-Dharwad ,29,KARNATAKA,943857,475980,467877,736506,389290,347216,983,949,87.28,91.67,82.83,113864,67478,46386
Hugli-Chinsurah ,19,WEST BENGAL,177209,88952,88257,152437,78780,73657,992,980,91.94,94.7,89.16,31236,17939,13297
Ichalkaranji ,27,MAHARASHTRA,287570,149691,137879,223752,123878,99874,921,889,87.85,93.64,81.6,22644,13707,8937
Imphal ,14,MANIPUR ,264986,128931,136055,219261,110809,108452,1055,939,91.7,95.87,87.8,63915,33950,29965
Indore ,23,MADHYA PRADESH,1960631,1020883,939748,1516434,827975,688459,921,886,87.38,91.84,82.55,313525,174270,139255
Jabalpur ,23,MADHYA PRADESH,1054336,546561,507775,841399,453820,387579,929,901,88.9,92.65,84.88,169711,92225,77486
Jagadhri ,6,HARYANA,124915,67752,57163,95469,53660,41809,844,822,85.79,89.04,81.96,18738,9805,8933
Jagdalpur ,22,CHHATTISGARH,125345,63910,61435,95303,51905,43398,961,919,85.44,91.51,79.16,16223,9289,6934
Jaipur ,8,RAJASTHAN,3073350,1619280,1454070,2272724,1282140,990584,898,854,84.34,90.61,77.41,533148,319107,214041
Jalandhar ,3,PUNJAB,862196,458015,404181,665625,363500,302125,882,866,85.5,87.98,82.69,128924,63657,65267
Jalgaon ,27,MAHARASHTRA,460468,241228,219240,363778,198426,165352,909,806,88.96,93.3,84.26,55315,33154,22161
Jalna ,27,MAHARASHTRA,285349,147714,137635,209531,116300,93231,932,886,84.61,91.05,77.74,23959,15360,8599
Jalpaiguri ,19,WEST BENGAL,107351,53749,53602,90455,46484,43971,997,958,91.11,93.67,88.56,20252,11543,8709
Jamalpur ,10,BIHAR,105221,56231,48990,81192,45961,35231,871,867,87.38,92.58,81.4,10638,7165,3473
Jammu ,1,JAMMU & KASHMIR,503690,265346,238344,413366,225410,187956,898,829,89.66,93.13,85.82,121564,65587,55977
Jamnagar ,24,GUJARAT,529308,276202,253106,394919,216330,178589,916,862,82.58,86.97,77.83,52049,29513,22536
Jamshedpur ,20,JHARKHAND,629659,327912,301747,494893,270876,224017,920,887,87.5,92.15,82.47,110962,64276,46686
Jamuria ,19,WEST BENGAL,144971,75574,69397,93152,54399,38753,918,947,73.11,81.73,63.68,5436,3961,1475
Jaunpur ,9,UTTAR PRADESH,168128,88704,79424,123245,68005,55240,895,908,82.11,85.81,77.98,24871,14851,10020
Jehanabad ,10,BIHAR,102456,54868,47588,70052,39889,30163,867,884,79.66,84.58,73.97,8901,6620,2281
Jetpur Navagadh ,24,GUJARAT,118550,62331,56219,89110,49677,39433,902,839,83.86,89.27,77.92,8846,4677,4169
Jhansi ,9,UTTAR PRADESH,507293,268101,239192,381771,214375,167396,892,868,83.81,89.18,77.81,78757,45368,33389
Jhunjhunun ,8,RAJASTHAN,118966,61906,57060,76183,44962,31221,922,864,74.4,84.8,63.22,10403,6482,3921
Jind ,6,HARYANA,166225,88561,77664,123267,71129,52138,877,831,83.63,90.86,75.43,21508,12601,8907
Jodhpur ,8,RAJASTHAN,1033918,544057,489861,740011,422120,317891,900,898,81.56,88.42,73.93,140922,84420,56502
Junagadh ,24,GUJARAT,320250,164091,156159,259563,139317,120246,952,868,88.63,93.23,83.83,36910,20964,15946
Kadapa ,28,ANDHRA PRADESH,341823,171797,170026,242540,131847,110693,990,923,79.38,86.22,72.54,41997,27337,14660
Kaithal ,6,HARYANA,144633,76657,67976,103329,59162,44167,887,823,80.76,87.65,73.07,18095,10125,7970
Kakinada ,28,ANDHRA PRADESH,312255,152596,159659,231559,117829,113730,1046,973,81.23,84.88,77.76,47823,29439,18384
Kalol ,24,GUJARAT,112126,59380,52746,88768,49439,39329,888,831,88.69,93.62,83.18,14208,8671,5537
Kalyani ,19,WEST BENGAL,100620,50867,49753,82553,43591,38962,978,955,88.75,92.79,84.63,17457,9775,7682
Kamarhati ,19,WEST BENGAL,336579,174840,161739,275870,147547,128323,925,936,88.22,90.79,85.43,50367,29437,20930
Kancheepuram ,33,TAMIL NADU,164265,81990,82275,132348,69538,62810,1003,973,88.35,93.14,83.59,18625,10805,7820
Kanchrapara ,19,WEST BENGAL,122181,61770,60411,103194,54213,48981,978,936,90.8,94.51,87.02,13808,8265,5543
Kanpur ,9,UTTAR PRADESH,2767031,1502370,1264661,2116973,1172323,944650,842,853,84.14,85.77,82.21,459611,250241,209370
Kanpur City,9,UTTAR PRADESH,108035,58505,49530,77484,44086,33398,847,914,79.65,83.36,75.23,12635,6841,5794
Karaikkudi ,33,TAMIL NADU,106793,53425,53368,88380,46114,42266,999,970,91.25,95.32,87.19,11778,6464,5314
Karawal Nagar ,7,NCT OF DELHI,224666,120284,104382,163801,94870,68931,868,837,84.57,91.74,76.36,14478,9446,5032
Karimnagar ,28,ANDHRA PRADESH,260899,131769,129130,204614,110146,94468,980,951,86.75,92.61,80.79,52034,33192,18842
Karnal ,6,HARYANA,286974,151668,135306,220711,121652,99059,892,807,86.32,90.55,81.64,52911,27708,25203
Kasganj ,9,UTTAR PRADESH,101241,53507,47734,69289,38933,30356,892,827,78.56,83.97,72.57,13306,7833,5473
Kashipur ,5,UTTARAKHAND,121610,63625,57985,89433,49030,40403,911,846,83.4,87.82,78.61,20036,10750,9286
Katihar ,10,BIHAR,225982,119142,106840,155706,87581,68125,897,933,79.87,84.96,74.16,24259,17105,7154
Khammam ,28,ANDHRA PRADESH,184252,91019,93233,136532,71580,64952,1024,930,81.7,87.14,76.43,29400,18405,10995
Khandwa ,23,MADHYA PRADESH,200681,102873,97808,153609,82575,71034,951,902,86.98,91.53,82.23,24431,13708,10723
Khanna ,3,PUNJAB,128130,67811,60319,97022,53108,43914,890,828,84.43,87.67,80.82,16767,8279,8488
